Station,Show,Snippet
CNN,Early Start,morn suprem court hear argument greenhous ga regul case environment protect agenc seek tighten emiss standard socal stationari greenhous gase like emit power plant white hous say stem effect climat
CNN,This Hour With Berman and Michaela,scientist donald trump say dont let global warm wise guy get away chang name climat chang fact let gw tag work anymor dr shepherd make case american peopl climat chang happen
CNN,New Day,bein risk argu would caus confus rais cost new york time question global warm
CNN,CNN Newsroom,back told global cool everyon told global cool realli big problem fade told al gore other global warm morph wasnt global warm
CNN,New Day,unev flight decid fli absolut glad see your okay morn thank right maryland today presid obama expect announc new rule decreas greenhous ga e meet
CNN,CNN Newsroom,sever hundr china suggest climat chang compar threat human be weapon think lunaci seem like misat time john kerri said climat chang
CNN,Piers Morgan Live,debat tonight global warm climat chang debat tonight creationevolut scienc know ask question global warm yeah well actual fact
CNN,This Hour With Berman and Michaela,emiss prevent wors consequ climat chang ever happen need move need move togeth kerri call climat chang big global threat terror said climat
CNN,Piers Morgan Live,look vagu bafflement face feel debat tonight learn anyth even remot persuas mayb your bark wrong tree whole global warm busi
CNN,Piers Morgan Live,hemispher expect storm let go back let ask concern whole debat regardless side number american believ global warm isnt
CNN,Piers Morgan Live,global warm climat chang creation evolut sign ask question global warm actual fact one emphasi tonight
CNN,This Hour With Berman and Michaela,agre fact climat chang behind crazi extrem fluctuat see late dont think agre cold new york that climat chang warm california that climat
CNN,New Day,passeng plane west nepal call board includ infant offici believ bad weather involv secretari state john kerri slam climat chang
CNN,Wolf,unless combat carbon pollut trend go get wors even take action climat chang carbon pollut
CNN,CNN Newsroom,sergeant bergdahl back mani offici say someth want see happen want bring home barbara starr report live still debat climat chang
CNN,Piers Morgan Live,actual bibl tell us whole creation run man pull extrem weather pattern today there climat chang
CNN,CNN Newsroom,craigslist murder man yearold last novemb said coupl dump bodi alley us secretari state john kerri say climat chang
CNN,CNN Newsroom,becam climat chang problem climat chang never day histori world climat chang one thing argu lessen global warm overwhelm scientif
CNN,Crossfire,tonight crossfir fire kiev chao middl east challeng home abroad biggest threat nation secur someth els sens climat chang
CNN,New Day,let take break new day slam million peopl state buri snow record shatter total far winter citi like boston new york question climat chang
CNN,The Situation Room,global warm go problem fade becam climat chang problem climat chang there never histori day world climat chang report dont believ there manmad
CNN,This Hour With Berman and Michaela,snake handl pastor die snakebit widespread sometim fatal display fate winter record high alaska record low lower record drought california big question everyon ask climat chang
CNN,This Hour With Berman and Michaela,insignific that that enorm chang chang world that last decad secretari state john kerri seem agre bill nye call concert global effort fight climat chang
CNN,The Situation Room,arsen us senat set wild speech pleas left secretari state unit state america intern forum say greatest threat global climat chang
CNN,Reliable Sources,ney scienc guy scientist congresswoman marcia black burn skeptic particular expertis subject whatev meet press tri accomplish dont think join talk climat chang broadli
CNN,Reliable Sources,coverag face nation cb broadcast even news show cover probabl coverag extrem weather event talk extrem weather often find talk climat chang
CNN,Wolf,combat effect chief polit analyst gloria borger watch presid polit tri accomplish right he tri make base democrat parti happi problem far climat chang
CNN,Reliable Sources,other complaint lack coverag press lack coverag press larg especi televis media matter week ago studi look broadcast news coverag climat chang
CNN,Crossfire,dont repres us govern theyr alway happi say there question john kerri right issu that right last year head pacif command ask singlegreatest threat said climat chang
CNN,CNN Newsroom,presid obama focu climat chang today prepar unveil new standard boost fuel effici truck cut greenhous ga emiss part year action presid pledg even mean go around congress move agenda forward chief congression
CNN,New Day Sunday,amend right suprem court recogn individu right gun question becam type limit could put right report also monday court hear case could test limit presid obama push use execut power congress wont act time climat chang
CNN,Reliable Sources,dont plan futur europ settl question global warm climat chang realiti prepar amsterdam prepar dike levi venic happen venic goe water your switzerland what
CNN,This Hour With Berman and Michaela,vo busi pro go nation go like pro presid road today presid obama make big move cut greenhous
CNN,CNN Newsroom,first involv nra gun right second amend second deal presid obama jend push limit greenhous gase certain compani without help congress report shortag
