Station,Show,Snippet
MSNBC,Dateline Extra,enough will figur exactli climat chang global warm year fail kyoto protocol countri sign pari agreement promis limit global
MSNBC,The Rachel Maddow Show,explain scienc way almost anybodi could understand inconveni truth got peopl curiou enough will figur exactli climat chang global warm
MSNBC,Dateline Extra,bunch smaller issu havent gotten yet late night tonight frack carbon tax
MSNBC,MSNBC - Democratic National Convention,believ scienc believ climat chang real
MSNBC,MSNBC Live,school without debt applaus elect climat chang greatest
MSNBC,All In With Chris Hayes,week show effect climat chang small island bayou louisiana remot citi northern coast alaska tonight well take miami florida sign climat chang
MSNBC,MSNBC - Democratic National Convention,convent long pain minut trump contradict host dark threat never mention word climat chang
MSNBC,Dateline Extra,break big bank want ban death penalti someth clinton person come bunch smaller issu havent gotten yet late night tonight frack carbon tax
MSNBC,Dateline Extra,figur exactli climat chang global warm year fail kyoto protocol countri sign pari agreement promis limit global warm well degre celsu go win
MSNBC,Dateline Extra,reli govern time crisi protect us fail fail lot peopl shame sinc world leader conven everi year discuss way fight climat chang
MSNBC,AM Joy,dont like week well think planet last week much dinger play ai drinkin game phrase climat chang
MSNBC,The Rachel Maddow Show,global warm presid gore climat chang activ possibl prepar threat besid terrorist al gore creat simpl entertain film
MSNBC,The Place for Politics 2016,process may end vote hillari clinton actual think donald trump valu messag repres threat societi also wait hillari say somh meaning climat chang
MSNBC,Morning Joe,im other still wait persuad happi hear said tpp younger kid talk colleg kid happi didnt come frack oneissu voter climat chang
MSNBC,Hillary Clinton It Takes a Country,way almost anybodi could understand inconveni truth got peopl curiou enough figur exactli climat chang global warm year fail
MSNBC,MSNBC - Democratic National Convention,everybodi angri theyr will put man white hous tell pollster say idea boxortur idea believ scienc talk dont believ climat chang
MSNBC,MSNBC Live,go find hundr peopl headlin see peopl today march saw last week cleveland import note differ protest sever hour ago climat chang
MSNBC,Dateline Extra,premier al gore use next presid unit state america film shine spotlight global warm former vice presid al gore climat chang activ possibl prepar threat
MSNBC,MSNBC - Democratic National Convention,global warm expect trump say global warm hoax
MSNBC,The Place for Politics 2016,health care right peopl applaus understand donald trump understand climat
MSNBC,MSNBC Live,risk nuclear war fact syria want start air war fli zone nuclear arm power she spread frack around world help contribut climat
MSNBC,All In With Chris Hayes,much properti risk hundr billion dollar asset current expos rise sea billion threaten come decad regardless whether greenhous ga emiss lower
MSNBC,Hardball With Chris Matthews,get lot get set price greenhous ga emiss opposit death penalti talk mean sander lost fight one top campaign parti languag oppos tpp
MSNBC,All In With Chris Hayes,mean peopl legitim believ man platform hate nonsens espous thank much realli appreci thank much still come weve shown real danger climat
MSNBC,Hardball With Chris Matthews,washington last fall lectur republican climat chang mean climat chang isnt even beat pope doesnt address issu took upon smart guy said put
MSNBC,The Place for Politics 2016,univers berni sander support want free colleg okay that big differ berni sander support want someth climat chang care much environ donald trump say someth invent chines climat chang problem said twitter
MSNBC,All In With Chris Hayes,much properti risk hundr billion dollar asset current expos rise sea billion threaten come decad regardless whether greenhous ga emiss lower weve put certain amount
MSNBC,MSNBC - Democratic National Convention,global warm shift fascin profound way direct democrat parti direct
MSNBC,Meet the Press,mind make sure donald trump becom presid unit state think tempera unqualifi presid think view guy run presid reject scienc doesnt even believ climat
MSNBC,The Place for Politics 2016,peopl ask well berni sander support look differ donald trump trump univers berni sander support want free colleg okay that big differ berni sander support want someth climat
MSNBC,MSNBC - Democratic National Convention,reject scienc believ climat chang hoax need address
MSNBC,All In With Chris Hayes,highest level calcium plu climat chang northernmost citi
MSNBC,Hardball With Chris Matthews,clear present danger climat chang miami suppos great great grandkid great snorkel site special report florida start right
MSNBC,The Place for Politics 2016,progress platform ever seen health care hillari clinton come free colleg tuition also thing donald trump realli get berni sander skin tell sever month campaign trail expect go thing like climat
MSNBC,Hardball With Chris Matthews,greenhous ga emiss opposit death penalti talk mean sander lost fight one top campaign parti languag oppos tpp languag still need ratifi entir democrat convent meet philadelphia later month document reflect influenc sander hold
MSNBC,Dateline Extra,bunch smaller issu havent gotten yet expect late night tonight frack carbon tax overal sander stay maryland race lot peopl doubt whether would leverag
MSNBC,MSNBC - Democratic National Convention,propos also substanti reduc student debt elect climat chang great environment crisi face planet
MSNBC,All In With Chris Hayes,florida sign climat chang see salt water bubbl storm drain high tide flood made
MSNBC,MSNBC Live,embrac progress movement went throu issu one anoth realli lay need put america back track back track fight global warm take high cost colleg get rid
MSNBC,The Rachel Maddow Show,year fail kyoto protocol countri sign pari agreement promis limit global warm well degre celsu go win remain question quickli win
MSNBC,Hillary Clinton It Takes a Country,shame sinc world leader conven everi year discuss way fight climat chang treati call
MSNBC,The Rachel Maddow Show,sinc world leader conven everi year discuss way fight climat chang treati call kyota protocol draft emit
MSNBC,Dateline Extra,yet expect late night tonight frack carbon tax overal sander stay maryland race lot peopl doubt whether would leverag wait long endors hillari clinton think prove get top
MSNBC,MSNBC Live,varieti attack past also frankli global warm delta water rise us embassi tell peopl check us arriv target look stand
MSNBC,Hillary Clinton It Takes a Country,kyoto protocol us wont support fail nearli decad later inconveni truth premier al gore use next presid unit state film shine spotlight global warm former
MSNBC,Dateline Extra,use vice presid unit state america film shine spotlight global warm vice presid gore climat possibl prepar threat besid terrorist al gore creat
MSNBC,MSNBC Live,vision applaus vision diplomaci secur histor global agreement climat chang put lid iran nuclear program
MSNBC,MSNBC - Democratic National Convention,heroic effort part mani peopl climat chang isra real vast major world leader like scientist like nasa depart defen
MSNBC,MSNBC Live,scienc someth presidenti candid ever believ climat chang hoax fact want expand use fossil fuel
MSNBC,Hardball With Chris Matthews,say mani es prushl spread scienc climat chang tri burst bubbl let ask im pretti much
MSNBC,First Look,life fight famili children im vote progress protect planet climat chang commun gun violenc hillari clinton watch
MSNBC,MSNBC - Democratic National Convention,woman spent entir life fight famili children im vote progress protect planet climat chang commun gun violenc
MSNBC,MSNBC Live,infrastructur colleg fund climat chang within minut trump slam sander tweet berni sander endors crook hillari clinton like occupi wall street endors goldman sach berni sander lost
MSNBC,MSNBC - Democratic National Convention,applaus believ oil compani shouldnt call shot washington scienc matter climat chang real hillari fight preserv earth children
MSNBC,The Place for Politics 2016,million job right unit state whole host issu share secur climat chang mexico critic partner
MSNBC,Hillary Clinton It Takes a Country,vice presid al gore climat chang activ possibl threaten other besid terrorist al gore creat realli simpl entertain film explain scienc
MSNBC,Dateline Extra,may nd climat chang pm realiz disappear mirabel appear alon cop need talk mirabel life
MSNBC,Dateline Extra,fail lot peopl shame sinc world leader conven everi year discuss way fight climat chang treati call
MSNBC,MSNBC Live,nuclear weapon includ effort confront offici depart defens describ signific nation secur problem climat chang unit state reach
MSNBC,MSNBC Live,agreement last decemb nation take coordin approach fight carbon pollut address climat chang good exampl way nation secur
MSNBC,MSNBC - Democratic National Convention,that democraci work want fight climat chang weve got engag young peopl colleg campus weve got reach coal miner who work
MSNBC,MSNBC Live,materi comprehens deal prevent iran obtain nuclear weapon halt spread ebola save countless live pari ambiti fight climat chang new sustain develop
MSNBC,MSNBC - Democratic National Convention,fight inclus fair nation union black brown white african asian peopl love earth know climat chang real valu educ
MSNBC,All In With Chris Hayes,ouch put succinctli brexit bought he knock billion week show effect climat chang small island bayou
MSNBC,Dateline Extra,polic check found secur outsid manag offic apart complex maribel pay rent may nd climat chang pm realiz
MSNBC,All In With Chris Hayes,week show effect climat chang small island bayou louisiana remot citi northern coast alaska tonight well take miami
MSNBC,MSNBC Live,would enough make choic weve got choic go path deni climat chang real
MSNBC,Meet the Press,fight middl class health care climat chang far far superior candid trump that think focu got believ dnc
MSNBC,MSNBC - Democratic National Convention,mani republican blame immigr problem stand way action climat chang gun violenc meanwhil mani democrat think wrongli blame privat sector problem
MSNBC,Meet the Press,fight middl class health care climat chang far far superior candid trump that think focu got believ dnc
MSNBC,The Place for Politics 2016,commit best favor countri stabil also harmoni hemispher solut global challeng instanc climat chang intern migrat reduct
MSNBC,MSNBC - Democratic National Convention,that describ look record civil right record educ record take tough issu like gun safeti climat chang whole pictur one find know
MSNBC,MSNBC Live,embrac berni sander program free tuition public colleg univers democrat platform includ strong languag price carbon deal climat chang minimum wage expand health care
MSNBC,MSNBC - Democratic National Convention,mindfield put climat chang center foreign polici negoti first agreement ever ever china india offici commit reduc emiss sinc
MSNBC,MSNBC - Democratic National Convention,cau first day offic presid hillari clinton what need combat climat chang lead clear air revolut ye need revolut go get one
MSNBC,All In With Chris Hayes,hundr billion dollar tax break top repeal estat tax think climat chang hoax importantli presid goe around
MSNBC,All In With Chris Hayes,innov help fight sea level rise speak futur innov tomorrow night exclus convers secretari state john kerri solut see fight climat chang like revolution energi
MSNBC,All In With Chris Hayes,hundr billion dollar tax break top repeal estat tax think climat chang hoax importantli presid goe around
MSNBC,MSNBC - Democratic National Convention,say let waterboard peopl let humili john mccain let believ climat chang sell well he say bunch republican theyr amen choru
MSNBC,MSNBC Live,climat chang feel today instead catastroph regim chang foreign polici weve involv earlier week dan saviag say essenti your vote jill stein help
MSNBC,The Place for Politics 2016,got elect secretari clinton everi singl issu fight middl class health care climat chang far far superior candid trump that think focu got
MSNBC,MSNBC - Democratic National Convention,support got behind senat sander care issu care crimin justic reform climat chang work peopl make economi work hard work peopl america tonight senat sander laid one issu
MSNBC,MTP Daily,solv crise economi time solv crisi climat chang make war oil obsolet creat foreign polici base intern law human right cancel student debt like
MSNBC,MSNBC - Democratic National Convention,intern agreement climat chang pari agreement repres best chanc save one planet weve got obama announc histor vote iran today comprehens longterm deal prevent obtain nuclear weapon
MSNBC,MSNBC - Democratic National Convention,good think got five minut got get go saw climat chang unlik threat human face arch affect entir earth live
MSNBC,All In With Chris Hayes,speak futur innov tomorrow night exclus convers secretari state john kerri solut see fight climat chang like revolution energi sector dont believ govern go solv problem
MSNBC,All In With Chris Hayes,tax break top repeal estat tax think climat chang hoax importantli presid goe around insult mexican latino muslim women african
MSNBC,All In With Chris Hayes,health insur may cover ciali contact health plan latest inform climat chang northernmost citi countri new york barrow alaska top contin went ice whale
MSNBC,All In With Chris Hayes,climat chang northernmost citi countri new york barrow alaska top contin went ice whale crew gather peac quiet stood edg
MSNBC,All In With Chris Hayes,solut see fight climat chang like revolution energi sector dont believ govern go solv problem believ privat sector go solv great entrepreneur peopl dare creativ
MSNBC,MSNBC Live,support us senat berni sander democrat platform writer meet weekend orlando florida adopt progress agenda underscor need bold action climat chang dress crimin justic reform call doubl feder minimum wage
MSNBC,The Place for Politics 2016,stand everyth climat chang rhetor heard primari report sure let take distanc somebodi speak microphon what call
MSNBC,MSNBC Live,power owe futur gener work togeth combat climat chang go weve got intellig weve got innov go roll sleev demonstr world america made
MSNBC,MTP Daily,climat chang work peopl peopl tim kain guest show coupl day ago said he bore bore fastest grow demkr demograph demograph bore tom vilsack
MSNBC,MTP Daily,togeth work togeth nation necessarili go us way way highway go work solv major problem face global whether climat chang cybersecur terror whatev might secretari tom vilsack
MSNBC,MSNBC - Democratic National Convention,interest futur economi got bud younger higher younger millenni base state care much environ climat chang theyv got guy side name trump say hoax youv got divers popul
MSNBC,Hardball With Chris Matthews,everythg address major crise face countri term incom wealth inequ year declin american middl class horrif crisi face term climat chang im go use
MSNBC,All In With Chris Hayes,time sound like five differ anim four nearbi beard seal one bowhead distanc still ahead move alaska miami see effect climat chang first zip line
MSNBC,MSNBC Live,sander top polici aid told got want democrat platform process thing well climat chang good number number berni sander support
MSNBC,The Place for Politics 2016,speaker platform total permit begin peopl speak that anywher one person like see peopl everyth said climat chang earlier pro choic
MSNBC,MSNBC - Democratic National Convention,today everybodi brain say got climat chang problem exactli enough go step game probabl task one get republican either convert get
MSNBC,Meet the Press,view guy run presid reject scienc doesnt even believ climat chang real let alon want someth want get hundr billion dollar tax break top twotenth
MSNBC,Meet the Press,view guy run presid reject scienc doesnt even believ climat chang real let alon want someth want get hundr billion dollar tax break top twotenth
MSNBC,MSNBC Live,new job busi pennsylvania good work owe futur gener work togeth combat climat chang dismiss chines hoax way donald trump love dismiss chines
MSNBC,All In With Chris Hayes,wealth inequ year declin american middl class horrif crisi face term climat chang im go use leverag tri make chang im also record
MSNBC,All In With Chris Hayes,dont look like indian indian clear present danger climat chang miami suppos great great grandkid great snorkel site special report florida start right nowirst time lon
MSNBC,All In With Chris Hayes,dont look like indian dont look like indian indian clear present danger climat chang miami suppos great great grandkid great snorkel site special report florida start
MSNBC,All In With Chris Hayes,one signific stori lifetim signific tonight well bring exclus interview secretari state john kerri us effort combat climat chang well look battl solar power one sunniest state countri nevada
MSNBC,MSNBC Live,dont need thing someth develop countri like bangladesh press hard climat chang rise sea need time talk scale hostag number gunmen perhap
MSNBC,All In With Chris Hayes,dont look like indian dont look like indian indian clear present danger climat chang miami suppos great great grandkid great snorkel site special report florida start right
MSNBC,MSNBC - Democratic National Convention,number one obstacl deal climat chang unit state america congress mean mean theyr incred almost unbeliev say trump well republican well deni scienc
MSNBC,Hardball With Chris Matthews,climat chang pope doesnt address issu took upon smart saidli put agenda sort pro life think save live speci
MSNBC,The Place for Politics 2016,chang care much environ donald trump say someth invent chines climat chang problem said twitter say everyth els berni sander support want help poor donald trump said want bet hous crisi
MSNBC,The Place for Politics 2016,disrupt illeg trade particularli given fact often transport small amount make kind larg bust mexico us collabor term elicit drug difficult addit like presid obama made climat chang top prioriti
MSNBC,All In With Chris Hayes,south florida tourism properti tax main sourc revenu commun much properti risk hundr billion dollar asset current expos rise sea billion threaten come decad regardless whether greenhous ga emiss lower weve put certain amount co atmospher that warm ocean atmospher that go persist next year mayb longer weve made commit alreadi happen adapt day day isnt anywher prettier live
MSNBC,All In With Chris Hayes,espous thank much realli appreci thank much still come weve shown real danger climat chang threaten two remot area countri tonight take miami effect found right street want miss report
MSNBC,MSNBC Live,address problem american famili today rais wage countri fight climat chang make colleg afford issu care said support go back candid work deport
MSNBC,AM Joy,talk climat chang week jerri brown heard secretari clinton cours mention speech real winner week divers philli walk around even tabl boufl thing would disagre
MSNBC,The Place for Politics 2016,view guy run presid reject scienc doesnt even believ climat chang real let alon want someth want get hundr billion dollar tax break top twotenth job right see
MSNBC,All In With Chris Hayes,wealth inequ year declin american middl class horrif crisi face term climat chang im go use leverag tri make chang im also record everyth chri im pretti
MSNBC,All In With Chris Hayes,five differ anim four nearbi beard seal one bowhead distanc still ahead move alaska miami see effect climat chang first zip line doesnt make number down street next urn relief work fast dont tast chalki
MSNBC,MSNBC Live,scientist tri figur mani countri honey bee die honey bee crucial part food chain popul us declin alarm rate believ climat chang partli blame scientist bee farmer point
MSNBC,All In With Chris Hayes,louisiana remot citi northern coast alaska tonight well take miami florida sign climat chang see salt water bubbl storm drain high tide flood made wors sea level rise peopl miami start reckon citi love
MSNBC,All In With Chris Hayes,still ahead move alaska miami see effect climat chang first zip line doesnt make number down street next today improb uk wit second brexit less week face movement leav eu pseudo popular lawmak thought
