Station,Show,Snippet
CNN,CNN Saturday Morning,global warm okay report said global warm one seriou seriou environment issu ted turner say skeptic global warm
CNN,Piers Morgan Tonight,fine ethic violat newt support amnesti illeg immigr teem nanci pelosi al gore global warm
CNN,Piers Morgan Tonight,fine ethic violat newt support amnesti illeg immigr teem nanci pelosi al gore global warm
CNN,American Morning,distract whether tar sand mountaintop remov thing destroy water tie nice idea climat chang real water happen one victim climat chang
CNN,World Business Today,effort report okay key mani island nation exampl mani scientist say that late effect climat chang
CNN,CNN Newsroom,newt gingrich press panelist moder stanc support health care mandat also appear nanci pelosi televis commerci climat chang
CNN,CNN Newsroom,republican romney get call rino side abort issu health care issu massachusett gingrich side climat chang
CNN,American Morning,report gingrich accus use offic damag candidaci dont alway see eye eye neat report sign two former speaker arent chummi battl climat chang
CNN,CNN Newsroom,dont alway see eye eye agre countri must take action address climat chang still believ know inconveni truth outlin global climat
CNN,The Situation Room With Wolf Blitzer,romney campaign attack newt gingrich top say alli like need left show infam ad newt gingrich nanci pelosi sit couch togeth talk climat chang
CNN,CNN Newsroom,hous act repudi comment accus use offic damag candidaci dont alway see eye eye newt report sign arent chummi day battl climat chang
CNN,John King USA,dont rule anyth go forward one catch phrase consist conserv race want listen jon huntsman abc back august say think mani republican wrong come climat chang
CNN,CNN Newsroom,work newt ton baggag fine ethic violat newt support amnesti team al gore global
CNN,State of the Union,obama care candid race im one that actual go get rid presid unit state thing global warm initi newt gingrich mitt romney also support global warm initi that someth
CNN,State of the Union,im biggest fighter obama care candid race im one that actual go get rid presid unit state thing global warm initi newt gingrich mitt romney also support global warm initi that someth
CNN,The Situation Room With Wolf Blitzer,kpat climat chang dont alway see eye high shlg newt agre countri must take action address climat chang still believ inconveni truth youtd lou
CNN,CNN Newsroom,damag even took land mass island doesnt exist anymor crazi year know there way know random event earth get violent warmth global
CNN,CNN Newsroom,gingrich campaign defens know poll show support slip nation attack ad come side here littl bit one agre countri must take action address climat
CNN,CNN Saturday Morning,ted turner say skeptic global warm well show evid read scientif report say
CNN,The Situation Room With Wolf Blitzer,dozen chanc like he primari want outsid newt consumm insid he partisan someon tv ad combat global warm nanci pelosi
CNN,Piers Morgan Tonight,violat newt support amnesti illeg immigr teem nanci pelosi al gore global warm suppos kellyann obviou question see ye neg ye brutal ye said
CNN,CNN Newsroom,nanci pelosi global warm togeth co sponsor bill gave billion year report littl tast ad gingrich say hurt campaign weve seen number drop
CNN,The Situation Room With Wolf Blitzer,caus econom meltdown team nanci pelosi al gore global warm rrt yall right get tough ad mitt romney super pack fals american polit
CNN,CNN Newsroom,gingrich think terrifi gave great gift newt gingrich damag sit sofa global warm ad especi doesnt say
CNN,John King USA,million influenc senior republican keep big mess freddi mac go tri shut whole host issu he wrong immigr he wrong global warm wrong billion bailout
CNN,American Morning,global warm newt longtim support nation health insur mandat centerpiec obama care mayb that georg call gingrich least conserv candid gingrich record year washington
CNN,CNN Newsroom,didnt read care coupl year ago pelosi gingrich made commerci togeth global warm time chang two stori far kyra interest see
CNN,CNN Newsroom,flipflopp side issu unprincipl appli much newt gingrich he side virtual everi issu mandat global warm came charact qualiti
CNN,CNN Saturday Morning,fundrais help spread awar global warm detail straight ahead l univers phoenix abl work fulltim mom go school opportunit univers phoenix
CNN,The Situation Room With Wolf Blitzer,pretti good constantli signal moder he realli one goe global warm often come across say audienc want hear go ahead respond well editori board
CNN,CNN Saturday Morning,awar global warm detail two minut stay close plu way newt gingrich ride high republican presidenti race could past come back haunt chase conserv voter
CNN,CNN Saturday Morning,end disappoint america involv us gener spoke ted also concept global warm say skeptic here said peopl dont believ
CNN,CNN Newsroom,sight big game pull punch today stark contrast governor romney issu health care issu cap trade global warm moral cultur issu
CNN,World Business Today,warn europ chang tact china breath new life climat chang talk trickl tourist return thailand recov devast flood
CNN,The Situation Room With Wolf Blitzer,point earlier romney flipflopp could say newt gingrich chang mind climat chang liber immigr
CNN,World Business Today,follow today intern airlin fli european union may soon hit new carbon tax tax carbon emiss rather eu highest court expect uphold propos meet later today
