Station,Show,Snippet
MSNBC,News Nation,discuss regard climat chang get ad tamron lot like immigr gay marriag democrat see climat chang wedg issu poll end show american pretti much think global warm
MSNBC,First Look,cathol poll fell conserv plung drop may stem focu global warm incom
MSNBC,The Ed Show,denounc climat chang track hottest year everi fluenc sever also tie climat chang
MSNBC,The Rachel Maddow Show,happen bridg fennica gotten st john bridg drill actic big issu polit issu global warm
MSNBC,MSNBC Live With Thomas Roberts,pipelin among question also abl put forward ambiti climat propos releas interest ad go gop let listen thing global warm
MSNBC,NOW With Alex Wagner,scientist man like beyond field expertis unfortun presid unit state deal employ non discrimin act climat chang
MSNBC,First Look,lie decept juan silva sentenc vacat juan silva jr face charg father still ahead hillari clinton call climat chang
MSNBC,PoliticsNation,greatest threat futur gener global warm climat chang well mr presid respect disagre greatest threat radic
MSNBC,PoliticsNation With Al Sharpton,parti countri mean turn primari like wrestl match concern peopl mean real problem climat chang
MSNBC,NOW With Alex Wagner,resist valuetican part behind he espous cathol valu social teach talk messag he put forth obvious climat chang
MSNBC,Hardball With Chris Matthews,theyr social scientist guy weird dont look like think anyth pick topic abort theyr go pope climat chang
MSNBC,First Look,lot california hope good rain devast mayor citi around world rome yesterday summit speak climat chang human
MSNBC,NOW With Alex Wagner,moder later he got tremend hostil ye also support speak energi fair custer wisconsin come say care less climat chang
MSNBC,First Look,that right republican parti close applic process receiv request hillari clinton laid goal fight climat chang monday new video take aim gop candid question climat
MSNBC,All In With Chris Hayes,classic insurg candid wonder say tend rocket think see continu surg peopl get meet know say anoth issu vital climat crisi issu
MSNBC,The Rundown With Jose Diaz-Balart,would like add well research lion point what happen icon speci research lost african govern intern commun climat chang
MSNBC,Hardball With Chris Matthews,pope popular drop point go still pretti good come pope becom factor american polit cathol presidenti candid forc contend pontiff polici posit incom inequ climat chang
MSNBC,NOW With Alex Wagner,today pope franci conven intern meet creat momentum global meet climat chang later year new studi find world ocean ground zero global warm warm even faster
MSNBC,Melissa Harris-Perry,becom nightmar republican presidenti candid ye new rather share also crumbl road toll theyr take car pay price pothol road plu one candid say link climat chang
MSNBC,NOW With Alex Wagner,predict reason excess heat trap greenhous gase absorb world ocean quarter carbon dioxid emiss current rate speci
MSNBC,First Look,chang believ human activ caus dramat chang scienc settl iowa clinton said climat
MSNBC,The Ed Show,warm greenhous gase go ocean peopl think sight mind well warmth come back surfac spawn record typhoon especi western pacif also hurrican eastern pacif may turn amplifi
MSNBC,The Ed Show,that okay that okay that okay favor act climat welcom back ed show final tonight hillari clinton tri answer climat
MSNBC,Weekends With Alex Witt,seriou approach climat chang would chang neglig think need follow us intellig commun integr climat chang mean state
MSNBC,The Ed Show,countri peopl deserv answer grandmoth easi attack republican climat chang believ clinton want seriou climat chang take stand
MSNBC,Hardball With Chris Matthews,ever go appeal young voter believ samesex marriag climat chang none believ climat chang happen vast major dont
MSNBC,Hardball With Chris Matthews,believ samesex marriag climat chang none believ climat chang happen vast major dont think need chang view one name real
MSNBC,MSNBC Live With Thomas Roberts,plan tackl climat chang expect hear lot clinton campaign offici say she go continu unveil part climat chang polici come week month nbc kristen welker thank
MSNBC,The Ed Show,consensu posit climat chang respons view side climat chang actual go lot wors current anticip look ten feet sea level rise mean
MSNBC,Hardball With Chris Matthews,dont like way head countri understand ever go appeal young voter believ samesex marriag climat chang none believ climat chang happen
MSNBC,Weekends With Alex Witt,partisan someth environmentalist talk someth institut nation secur us militari concern caitlyn mention talk complex situat syria look climat
MSNBC,Hardball With Chris Matthews,recogn he go american primari that perfectli reason think iowa import state governor walker probabl quit well hope nomine went climat
MSNBC,The Cycle,planet global warm problem india pakistan go war independ target missil want move
MSNBC,The Rachel Maddow Show,issu global warm global issu even issu big often find tini logist specif choke point even peopl sound equip rope plastic boat incred
MSNBC,The Rachel Maddow Show,columbia river happen bridg fennica gotten st john bridg drill actic big issu polit issu global warm global issu
MSNBC,News Nation,thing global warm believ human activ caus dramat chang scienc settl hasnt notic chang recent time there zero warm none whatsoev
MSNBC,The Cycle,global warm obviou everybodi surpris well cours im surpris cours fist came nobodi could expect way twitter blew night way everybodi taken
MSNBC,The Rundown With Jose Diaz-Balart,mountain mountain beij get roughli quarter inch inch half snow nearli enough beij alreadi share environment problem global warm peopl im sure awar famou photo peopl
MSNBC,All In With Chris Hayes,futur era climat crisi california deal grow drought crisi california midst unpreced drought call drought live worst could yet come
MSNBC,All In With Chris Hayes,theyr climat crisi sign katrina vanden heuvel thank chri christi got good news bad news today first full day campaign sinc offici announc presidenti run
MSNBC,All In With Chris Hayes,meet know say anoth issu vital climat crisi issu nation launch someth call climat pledg lot univers pension go fund divest
MSNBC,All In With Chris Hayes,run martin omalley said theyr climat crisi sign katrina vanden heuvel thank chri christi got good news bad news today first full day campaign sinc offici
MSNBC,All In With Chris Hayes,soil run hill someth experi mayb itll answer help us el nino two wouldnt hurt mayb anoth climat crisi hand thank
MSNBC,MSNBC Live With Thomas Roberts,consequ string activ carolina coastlin well earli happi fourth know climat crisi weigh heavili situat first ocean warmer normal
MSNBC,Weekends With Alex Witt,africa goe ethiopia next rise isisesisisi climat chang set stage murder rampag that next terri stop quit alright
MSNBC,All In With Chris Hayes,think see continu surg peopl get meet know say anoth issu vital climat crisi issu nation launch someth call climat
MSNBC,All In With Chris Hayes,soil run hill someth experi mayb itll answer help us el nino two wouldnt hurt mayb anoth climat crisi hand thank thank
MSNBC,All In With Chris Hayes,mayb anoth climat crisi hand thank thank appreci much drought live malibu famili wine ahead vo make everi mile that got subaru impreza
MSNBC,MSNBC Live With Thomas Roberts,indic climat crisi real ripe deal doctor conserv biologist thank much join us break news yearold man bitten shark waistdeep
MSNBC,All In With Chris Hayes,berni democrat run martin omalley said theyr climat crisi sign katrina vanden heuvel thank chri christi got good news bad news today first full day campaign sinc offici
MSNBC,The Ed Show,welcom back ed show top scientist gave bomb shell warn climat chang rise sea level glacier greenland antarctica melt ten time
MSNBC,The Ed Show,absolut hillari clinton cant give us absolut us work climat chang know exactli answer
MSNBC,Weekends With Alex Witt,us navi predict ice stop form arctic ocean summer effect global warm felt ice melt arctic creat gold rush sort oil driller us fight countri control
MSNBC,Hardball With Chris Matthews,hope nomine went climat chang hit everi button use littl restraint wear bikini littl
MSNBC,The Ed Show,cast got edcom come well look climat chang produc wild weather later black live matter movement make impact net
MSNBC,The Ed Show,forthright member ask specif question climat chang educ immigr privaci detent center also talk issu like crimin justic enhanc social secur straight answer back
MSNBC,First Look,win game even call piec cake one lawmak use emoticon slam gop fight climat chang brought sign senat
MSNBC,The Ed Show,okay come uphil clint climat chang agenda ignor one greatest threat environ could think key stone sad stori latest
MSNBC,Weekends With Alex Witt,say link climat chang isi real well fact check need get grand theater activ shooter scene attack
MSNBC,Weekends With Alex Witt,democrat presidenti candid martin omalley weigh climat chang connect isi syria said week conserv
MSNBC,Way Too Early,dove climat chang garner lot headlin second visit south america make stop paraguay avoid argentina avoid get caught
MSNBC,The Ed Show,come tar sand oil issu ed seriou combat climat chang scientist tell us major environment crisi face
MSNBC,The Ed Show,someth climat chang differ make presid decis desk guess question loyalti climat
MSNBC,First Look,traffick pope franci held summit new york citi mayor de blasio attend well california governor jerri brown call climat chang denier fierc opposit
MSNBC,Up WSteve Kornacki,global entrepreneurship summit want commend leader clean energi announc post target limit carbon emiss part fight climat chang togeth confront
MSNBC,First Look,goal gener enough renew energi power everi singl home america clinton speak plan fight climat chang today iowa rare senat session
MSNBC,NOW With Alex Wagner,plu progress pope pontiff focu un chang climat chang later may attent good luck republican presidenti contend desper tri heard
