Station,Show,Snippet
MSNBC,Up WSteve Kornacki,effort slow climate change requires bold action global threat time senior white house aide say president set new limits power plants electric power plants account 40 greenhouse gas emissions
MSNBC,Morning Joe,national policy cases number coal fired plants going new coal fire plant number years coal fire plants contribute third greenhouse gases
MSNBC,NOW With Alex Wagner,tens billions dollars protect city climate change many signs necessary post sandy everyone sees vulnerable city kind drama think motivating issue emission standards whether going carbon tax 4
MSNBC,The Rachel Maddow Show,next sign audible one last year took office year took office administration pledged reduce america greenhouse gas
MSNBC,The Rachel Maddow Show,white house team advance work today big speech next sign audible one last year took office year took office administration pledged reduce america greenhouse gas
MSNBC,Melissa Harris-Perry,rights land rights tree huggers talking environment central colorado got conversation climate change watch sandy atlantic ocean new york city subway talking climate change
MSNBC,Hardball With Chris Matthews,promising bold action climate change course cap trade failed overcome republican opposition congress earlier year address second term president promised action climate change respond threat climate change knowing
MSNBC,The Daily Rundown,congress rejected climate change people better prepared severe weather incidence whether greenhouse gases common sense preparation point debate let ask conservative side
MSNBC,The Last Word,majority shows soon think democrats get majority ed markey could run 2010 climate change ed
MSNBC,The Last Word,majority shows soon think democrats get majority ed markey could run 2010 climate change ed
MSNBC,Morning Joe,well see cutting edge everything addressing issues affect future instead sucking milky ways mouth could stand little global warming right actually wow willie want global
MSNBC,The Rachel Maddow Show,president said longest treatment policy issue inaugural address earlier year respond threat climate change knowing
MSNBC,NOW With Alex Wagner,today speech president obama use executive action call tougher efficiency standards home eappliances prepare country impacts climate change
MSNBC,All In With Chris Hayes,climate change announces start think weather hot weather storm weather storms worst mistake make continue view climate change
MSNBC,All In With Chris Hayes,ridiculousness speaking ridiculousness photo president white house situation room briefed last week latest threat homeland threat climate change
MSNBC,The Daily Rundown,though issue almost entirely absent obama 2012 campaign inaugural address january heard notable change tone respond threat climate change knowing
MSNBC,MSNBC Live,creation future crop lands snow capped peaks plan told cutting ksh yn emissions devising new sources energy addressing impact climate change many
MSNBC,Martin Bashir,reduce greenhouse gases president going rely use executive orders congress remains frankly unable anything specifically issue climate change yeah martin think right said global threat time
MSNBC,News Nation,pause partisan gridlock demands attention plan plan cut carbon pollution plan protect country impacts climate change
MSNBC,The Rachel Maddow Show,end approving keystone pipeline part tempering expectations base saying want keystone pipeline want taking action climate change
MSNBC,Martin Bashir,short time ago president delivered remarks climate change taking strong stance reduce greenhouse gas pollution tomorrow morning board plane week long trip africa visit
MSNBC,Melissa Harris-Perry,climate speech laying things plans reduce greenhouse gas emissions mitigate effects climate change without help account congress president father
MSNBC,The Rachel Maddow Show,private fund raiser california president obama expressed concerns political pain involved saying dial testing state union speech showed favorability ratings plummeted vowed act climate change congress
MSNBC,The Daily Rundown,increased frequent severe storms floodings droughts look across country different things happening weather pattern changes reputable scientist say particular storm due climate change
MSNBC,NOW With Alex Wagner,went quickly tick lars lost sight forest margaret part problem americans concerned whether people various countries various parts world think climate change
MSNBC,Melissa Harris-Perry,tiff colorado springs got worst wildfires history think talking frontline community expanding expanding expanding finally environmental justice organizing movement actually becomes voice climate change
MSNBC,All In With Chris Hayes,crazy thing everything power implement obama care arizona picture president white house situation room briefed last week latest threat homeland threat climate change
MSNBC,The Rachel Maddow Show,push communities adopt smarter practices invest divest remind folks contradiction sound environment strong economic growth remind everyone represents every level government sheltering future generations ravages climate change
MSNBC,The Rachel Maddow Show,whatever something already obviously decided already basically fine everybody concerned level decision making congress reliably handle right maybe president obama made big announcement today climate change pollution
MSNBC,Up WSteve Kornacki,president way given said happened past seen time almost every single piece legislation hard see something big going really impact climate change
MSNBC,MSNBC Live,approve form keystone pipeline tell people environmental communities leaders spoken worried course going supposed uproar come climate change proposal
MSNBC,Hardball With Chris Matthews,obama care arizona crazy thing everything power implement obama care arizona picture president white house situation room briefed last week latest threat homeland threat climate change
MSNBC,MSNBC Live,pictures g 8 president putin president obama look like best friends facebooking time say much let move talk president obama got big plan coming fact going talking climate change
MSNBC,Hardball With Chris Matthews,popping us russia china seizing opportunity make us look bad president obama try move ball global warming climate change today cities like miami turn atlantis something
MSNBC,Hardball With Chris Matthews,enemies pop popping us russia china seizing opportunity make us look bad president obama try move ball global warming climate change today cities like plooim turn atlantis
MSNBC,Weekends With Alex Witt,okay amy howell thank much look forward seeing thanks inviting outer space cold reality global warming going see nasa charting ravages climate change earth icecaps next male announcer erica rough day
MSNBC,The Rachel Maddow Show,broaden circle willing stand future convince power reduce carbon pollution push communities adopt smarter practices invest divest remind folks contradiction sound environment strong economic growth remind everyone represents every level government sheltering future generations ravages climate change
MSNBC,Hardball With Chris Matthews,important lesson episode trouble enemies pop popping us russia china seizing opportunity make us look bad president obama try move ball global warming climate change today cities like miami turn atlantis something five feet
MSNBC,The Daily Rundown,efficiency targets buildings 76 billion projects nation vulnerable areas vulnerable rising seas combined new president reduce roll greenhouse
MSNBC,Andrea Mitchell Reports,keystone pipeline would approved proved would net increase greenhouse gases keystone pipeline critical issue capitol hill long time
MSNBC,All In With Chris Hayes,incredible offer exhilarating c250 sport sedan hurry offers end soon president something today find pretty remarkable yes laid detailed plan limit greenhouse gases power plants listed ways
MSNBC,All In With Chris Hayes,president something today find pretty remarkable yes laid detailed plan limit greenhouse gases power plants listed ways warming planet impacts health going talk substance policies
MSNBC,Jansing and Co.,stupid would talking go step deny science problem global warming undeniably fact global warming problem 99 scientists say
MSNBC,The Rachel Maddow Show,common denominator policy 7000 reduction 2020 make phenomenal difference arc global climate
MSNBC,Andrea Mitchell Reports,pipeline approved unless stebd net increase greenhouse gases coming north dakota center energy burst right natural gas feel proposal
MSNBC,MSNBC Live,bring people table like setting fuel efficiency greenhouse gases automobiles doable buy new car fill pump save money tank gas gallon
MSNBC,The Rachel Maddow Show,policies try reduce role contributing global warming try protect country impact global warming course already well way usually get announcement advance president planning big policy speech usually get
MSNBC,Morning Joe,use look tough issue going ex senator one day people going ask energy environment want tell story american innovation like cafe standards fuel switching keep driving greenhouse
MSNBC,MSNBC Live,well think move forward requirements power plants reduce greenhouse gas emissions seeing impacts complicated
MSNBC,The Rachel Maddow Show,year took office administration pledged reduce america greenhouse gas emissions 17 2005 levels end decade
MSNBC,MSNBC Live,plannings prevent worst effects climate change specifically reducing carbon pollution also preparing country unavoidable impacts climate change postponing u positioning u rather
MSNBC,All In With Chris Hayes,30 tablet free trial president something today find pretty remarkable yes laid detailed plan limit greenhouse gases power plants listed ways warming planet impacts health going talk substance policies mean moment president something today basically official
MSNBC,Andrea Mitchell Reports,administration pledged reduce america greenhouse gas emissions 17 2005 levels end decade roll sleeves got work
MSNBC,Up WSteve Kornacki,given nomination hullry person think factors look thanks jeremy bird obama election campaign president obama found way around congress climate
MSNBC,The Daily Rundown,party green republican believe climate change believe humans something climate change people party deny science extending gay rights two people love
MSNBC,The Daily Rundown,powerful storms president new plan objectives prevent worst effects climate change reducing carbon pollution prepare country impacts climate change unavoidable lead rest word effort combat
MSNBC,The Daily Rundown,leaders upset instance president obama done little climate change issue climate change particular important europeans never high priority american voters way sense lot
MSNBC,First Look,one thing well impossible stick one thing promises made beginning administration immigration reform one climate change moves climate change another big deal somebody
MSNBC,Hardball With Chris Matthews,promising bold action climate change course cap trade failed overcome republican opposition congress earlier year address second term president promised action climate change respond threat
MSNBC,Hardball With Chris Matthews,promising bold action climate change course cap trade failed overcome republican opposition congress earlier year address second term president promised action climate change respond threat
