Station,Show,Snippet
MSNBC,The Ed Show,tuna swordfish largest living animal blue whale full mercury ed hole think caused climate change global
MSNBC,First Look,five week get five week come five week recess yeah well good thing important urgent business take care clock ticking immigration reform immigration border deal global warming climate change raging wildfire
MSNBC,The Ed Show,liberty mutual insurance welcome back thank forewatching tonight united state number one denial one beat country pretending global warming
MSNBC,The Ed Show,spectrum 91 china agrees change habit necessary fueled conservative climate change denier scientist climate change fact
MSNBC,The Daily Rundown,president health care law struggling support iowa new hampshire like saw yesterday colorado michigan half voter state call law bad idea popular proposal cut greenhouse gas emission
MSNBC,NOW With Alex Wagner,seed happened syria climate change seed happened darfur spent lot time thinking talking think degree set climate change
MSNBC,The Last Word With Lawrence ODonnell,report gdp growth 4 last quarter extraordinary think president take high ground say job attempting get economy going attempting thing talking global warming
MSNBC,Ronan Farrow Daily,got bitten jelly fish front one thing seened argued look rising number around world sort thing coming clogging nuclear plant people attributing global warming
MSNBC,The Last Word With Lawrence ODonnell,woman agree republican gun control woman agree republican tax woman agree republican immigration reform woman agree republican climate change
MSNBC,The Ed Show,grant work local issue around climate change global warming make sense secretary kerry take request land ownerers given
MSNBC,All In With Chris Hayes,time seem stable hope stability fall violence linda sarsour american arab association new york ori nir thank thank right climate change
MSNBC,Morning Joe,forefront actually putting together legislation make sense gun magazine size really michael bloomberg trying make difference politically one issue care care climate change
MSNBC,The Ed Show,made decision go iraq 03 believed look back absolutely right thing republican party climate change liz nothing
MSNBC,The Last Word With Lawrence ODonnell,twice well let see woman agree republican abortion woman agree republican gun control woman agree republican tax woman agree republican immigration reform woman agree republican climate change
MSNBC,All In With Chris Hayes,two kid anybody father parent know got dealt john podesta taken seriously 25 year organized earth day found 1990 national mall pushing climate change
MSNBC,All In With Chris Hayes,dire burn going able burn going able burn burn one ever say least u president forestall really cataclysmic level climate change
MSNBC,The Ed Show,looking something much greater going hum theme twilight zone cannot dispute climate
MSNBC,NOW With Alex Wagner,age care latest installment climate change denialism come kentucky brandon smith said manmade climate change impossible mar earth share
MSNBC,All In With Chris Hayes,equivalent established science climate change climate change denier bbc staff told stop inviting crank science program phrasing
MSNBC,The Ed Show,deal pollution regulation funding campaign played clip north carolina tom tillis denies climate change exists much le climate change caused human
MSNBC,The Ed Show,still ahead 2016 republican presidential contender might made biggest mistake life politically rapid response panel one plus people america started war climate
MSNBC,NOW With Alex Wagner,historic wildfire burn hundred thousand acre state washington president obama make historic connection talk sierra club executive director climate progress founding editor moving goalpost climate
MSNBC,First Look,global warming greatest deception history mankind calling al gore inconvenient truth propaganda quite inconveniently al
MSNBC,The Ed Show,pretender tonight brandon smith kentucky state senator belief climate change big old hoax last thursday smith gave world opinion climate change natural resource committee hearing want get
MSNBC,All In With Chris Hayes,problem almost broadcast news organization one included time resource way instead often wrong way setting false equivalent establish science climate change climate change denier bbc
MSNBC,The Ed Show,happening climate change well whatever want believe right president obama declared state emergency state washington tuesday president said lot fire climate change consequence oil
MSNBC,The Ed Show,white house going use advantage going use focus thing like climate change president talking crisis come climate change country moving forward clean
MSNBC,The Ed Show,disappear start taking climate change seriously listening scientist think charlie crist using advantage think politician talking climate change think need dumb american understand
MSNBC,Ronan Farrow Daily,global warming component well could connection right cost hundred million dollar damage worldwide
MSNBC,NewsNation,felt time alerted peril global warming getting fact happen absolutely could happen saw first
MSNBC,The Last Word With Lawrence ODonnell,impossible get boehner becaming president obama global warming latest transformer movie believe impeach president obama step step plan
MSNBC,The Ed Show,would increase global greenhouse gas emission think country concerned would jeopardize stability united state oil market basically republican saying president democrat oil company made enough money
MSNBC,All In With Chris Hayes,climate change dedenier look like hottest new youtube trend
MSNBC,NOW With Alex Wagner,reign global warming could cost 150 billion year think figure would make fiscal conservative wince republican appear busy crafting kring
MSNBC,The Ed Show,fact weekend two virginia senate candidate debated issue democratic senator mark warner asked republican candidate gillespie view global warming whether sided majority
MSNBC,The Last Word With Lawrence ODonnell,boehner blaming president obama global warming latest transformer movie believe impeach president obama step step plan impeach president obama new book look
