Station,Show,Snippet
MSNBC,MSNBC Live,side 9 12 signed pledge greenhouse gases wanted americans prosperity take pledge said pledge greenhouse gases ask
MSNBC,MSNBC Live,opposition conservative groups made lot steps basically sort toughening rhetoric epa particular role regulating greenhouse gases
MSNBC,The Rachel Maddow Show,house last election house energy committee like committees republican controlled republicans energy committee signed pledge given americans prosperity saying would oppose obama administration plans regulate greenhouse gases
MSNBC,MSNBC Live,funded 35 conservative libertarian groups fought 48 million fight global warming groups
MSNBC,Jansing and Co.,already already dramatically cutting paperwork administrative costs improving way fda evaluates things like medical devices get treatments market faster epa delayed greenhouse gas permitting rules
MSNBC,The Daily Rundown,regulate greenhouse gases say possible climate change like read bill saying believe climate changing convinced
MSNBC,First Look,another official said american born islamic cleric tops osama bin laden biggest threat u england prince charles lashed climate change
MSNBC,The Ed Show,much pollute well say want keep way since mandatory carbon reporting united states koch industries lot lose move ahead climate change legislation
MSNBC,The Ed Show,republican table washington let front folks table koch industries one biggest polluters united states reported ed show kochs stand lose 40 billion year proposed climate change legislation
MSNBC,Hardball With Chris Matthews,insurrection montana bill called global warming quote natural occurrence beneficial welfare business climate montana go away climate change goes away unless wrong
MSNBC,MSNBC Live,fact whence return issue plus latest problem republicans also gore position global warming apparently personal life gop acting climate change takes cake literally believe heard
MSNBC,Hardball With Chris Matthews,invasion rebellion insurrection montana bill called global warming quote natural occurrence beneficial welfare business climate montana say go away climate change goes away unless wrong
MSNBC,The Rachel Maddow Show,prosperity saying would oppose obama administration plans regulate greenhouse gases also say plans
MSNBC,MSNBC Live,regulation greenhouse gases gop working hard appease guys bill eliminate epa regulations car emissions lovely
MSNBC,The Ed Show,greenhouse gases get picture next committee agenda replacing restrictions environmental protection agency need joining tonight
MSNBC,The Rachel Maddow Show,prosperity saying would oppose obama administration plans regulate greenhouse gases also say plans restrict reach epa oversite koch industries
MSNBC,MSNBC Live,politicians denounce democratic led effort compel oil refineries clean emissions greenhouse gases called cap trade system get happening oil business
MSNBC,The Ed Show,committee signed koch sponsored pledge oppose regulation greenhouse gases get picture next committee agenda replacing restrictions environmental protection agency need joining tonight
MSNBC,The Daily Rundown,says clean air act give epa authority regulate greenhouse gases well interesting obviously created 1990 graen house gases issue going decided courts
MSNBC,MSNBC Live,right wing talking point global warming tell us little bit original position well original position original statements indicate least considered global warming serious problem needed
MSNBC,The Daily Rundown,gating regulation concerning climate change saying convinced climate change occurring saying clean air act passed early 90s give epa authority
MSNBC,The Rachel Maddow Show,greenhouse gas regulations amendments passed party line votes friday house voted end federal funding planned parenthood set extreme policies republicans opening bid
MSNBC,MSNBC Live,would outlaw science something first time legislator says little radic radical says global warming real actual science
MSNBC,MSNBC Live,young turks many fun thought provoking stories every day got us first global warming beneficial welfare business
MSNBC,Hardball With Chris Matthews,new hampshire tea parties introduced bill fend innovation rebillion insurrection montana bill called global warming quote natural occurrence beneficial
MSNBC,The Rachel Maddow Show,merely ham 80 million budget would bar agency using fund development implementation greenhouse gas regulations amendments passed party line votes friday house voted end federal
MSNBC,The Last Word,climate change believe government presence american like john birch society
MSNBC,MSNBC News Live,link global warming recent years extreme rain storms snowfalls researchers say weather events getting substantially worst past 60 years show thanks watching
MSNBC,Morning Joe,past 30 years free trade economic theory religion much like global warming five years ago even questioned side heratic
MSNBC,Hardball With Chris Matthews,grants higher education forget never pick guys republicans party becoming party believe science whether evolution climate change believe government presence american
MSNBC,MSNBC Live,specifically target commerce energy economy boys first thing want republicans course want limit epa controlling global warming say hey back oil
MSNBC,MSNBC Live,get money changes position sudden thinks global warming big deal probably wonderful coincidence right one last question real quick know got pollution might come refineries
MSNBC,The Rachel Maddow Show,merely hack 3 million budget would bar agency using fund development implementation greenhouse gas regulations amendments passed party line votes friday house voted end federal funding planned parenthood set extreme policies republicans opening bid
MSNBC,MSNBC Live,saying hey want oil refineries get cleaned clean oil refineries less pollution less global warming costs koch brothers tremendous amount money invest little bit money buy politicians
MSNBC,MSNBC News Live,loose joint make hard driver steer affects 2009 2010 models gm saying injuries reported glitch yet almost hear debate begin two new studies global warming reports journal nature
