Station,Show,Snippet
MSNBC,All In With Chris Hayes,one day 50 president trump belief climate change hoax know said obama talking global warming
MSNBC,First Look,president trump made official united state withdraw paris climate accord reporter agreement pledge nearly 200 country reduce greenhouse gas
MSNBC,Andrea Mitchell Reports,finally one thing jim baker suggested rebatebable carbon tax
MSNBC,MSNBC Live With Alex Witt,alabama glad join u want ask sir believe climate change hoax well problem phrase climate change mean take literally scientist would climate change
MSNBC,The 11th Hour With Brian Williams,welcome back 11th hour talking president decision leave paris climate accord joined former climate change denier evolved interest something climate change activist
MSNBC,MSNBC Live With Craig Melvin,paris agreement got utility across country moving away coal going natural gas natural gas abundant also creates fewer carbon dioxide emission emission create global warming
MSNBC,First Look,opposition leader opposed visit opposes president trump number issue including climate change
MSNBC,MSNBC Live With Alex Witt,different part country certainly maybe different party felt possible climate change something
MSNBC,MSNBC Live,john thank sean yesterday president macron france delivered sharply worded speech english attacking president climate change decision saying
MSNBC,Meet the Press,republican climate change skeptic would walk away paris agreement mr kerry dismissed concern arguing republican quote eliminated contention general election unquote approach campaign issue climate change
MSNBC,Meet the Press,movement country skeptical climate change conservative movement canada uk france germany skeptical climate
MSNBC,PoliticsNation With Al Sharpton,endangered nation world vulnerable people announced united state would withdraw 2015 paris accord combat climate change
MSNBC,Deadline White House,mayor pittsburgh mayor across country governor going sign keep emission control concerned climate change
MSNBC,MSNBC Live,upholding goal paris climate change agreement goal include reducing greenhouse gas emission 26 28 2005 level 2025 keeping global temperature increase 2 degree
MSNBC,MSNBC Live,nation around world climate change temperature rose briefing room epa administrator scott pruitt press secretary deflected question president view climate
MSNBC,MSNBC Live With Hallie Jackson,paris climate agreement want talk political fallout abroad home one republican law maker different view climate change stick around
MSNBC,Andrea Mitchell Reports,science still divided still wback house thought moved past senior elected representative still deny climate change even
MSNBC,MSNBC Live With Alex Witt,change eon many different way planet changed continue change going forward general consensus american vernacular climate change something
MSNBC,MSNBC Live With Alex Witt,environment people club governor syria nicaragua think deal went far enough president belief climate change pollutant
MSNBC,MSNBC Live With Stephanie Ruhle,seems across board people joe scarborough morning president bannon hearing russian president vladimir putin kind taking shot trump climate change
MSNBC,Meet the Press,dozen wounded prime minister teresa may responds morning believe experiencing new trend threat face latest plus u pull paris climate change accord
MSNBC,AM Joy,thing climate change try promote fossil fuel greenhouse gas emission care think question course rest country going mayor several mayor governor et
MSNBC,MSNBC Live,hoax nbc kristen welker latest mounting fallout president trump pulled paris climate agreement center white house unable answer key question president believe today climate change
MSNBC,MSNBC Live,think depends city talking cover impoverished people working class people part beat look miami part staten island new orleans city facing real issue climate change
MSNBC,MSNBC Live,consistently absolutely wrong shameless want go jake studio l president trump taking exact polar opposite approach president obama come climate change
MSNBC,AM Joy,sends pretty clear message angry distressed people around world u care problem enemy interesting thing talking u withdrawal paris accord threat climate change
MSNBC,MSNBC Live,fodder late night laugh environmentalist want u remain part accord exxonmobil shell wanted u walmart supported apparently big company ran number turn climate change
MSNBC,For the Record With Greta,make better deal saying forget clever trump slways let negotiate better deal black white issue shown wiggle room along look climate change
MSNBC,Velshi  Ruhle,climate change signed nearly 200 country pledging cut greenhouse gas emission total polluting earth atmosphere president say care deeply environment insists cost paris accord
MSNBC,All In With Chris Hayes,also vladimir putin offer theory hacking election sound bit like trump part megyn kelly exclusive interview russian president senator al franken remark think greater threat putin climate change
MSNBC,Hardball With Chris Matthews,done amazing thing could trump say science science understand claiming way think honest either number one talking renegotiating believe climate change situation
MSNBC,Andrea Mitchell Reports,general mattis said would buy bullet replace american diplomacy time never needed like conflict going world decision get climate change
MSNBC,Morning Joe,standing especially ally trip mean sitting clapping great president bannon making decision would think would concerned haening pentagon record saying climate change
MSNBC,MSNBC Live,good afternoon right white house fighting critic two front war one hand administration official dealing back lash president trump decision exit paris climate deal categorically refusing say whether president climate change
MSNBC,MSNBC Live With Craig Melvin,climate change let talk personal view march said tremendous disagreement degree human impact would agree primary contributor global warming would agree agree huma
MSNBC,The 11th Hour With Brian Williams,occurred october 2012 clearly overwhelming majority constituent result climate change global warming sea rise seen across world recent time part
MSNBC,The 11th Hour With Brian Williams,yeah mean certainly fit pattern understanding trump pretty much belief whatever last person speaks tell think idea really getting away asking whether president belief climate change real
MSNBC,MSNBC Live,president trump decision pull paris climate accord lot people asking question president trump believe global warming heelieve climate change giving u answer wanting way
MSNBC,Meet the Press,openness deal president said clearly friday op actually want engage discussion respect international agreement co 2 reduction paris paris represents bad decision country believe co 2 primary cause co 2 contributes climate change
MSNBC,All In With Chris Hayes,lot hoax hoax money making industry okay hoax president tweeted climate change skepticism least 115 time including claim concept global warming created chinese president firmly
MSNBC,Meet the Press,reduction greenhouse gas change thosdue targe afwreemt could 26 28 reduction agreement former administration rule
MSNBC,Morning Joe,greenhouse gas remember showing e mail morning paris signed said bunch b except say b absolute garbage voluntary guideline set gene impact
MSNBC,MSNBC Live With Craig Melvin,baseline country 26 28 reduction greenhouse gas represented clean power plant yes sir would like go back first question asked answer
MSNBC,Morning Joe,foremost climate scientist came theory greenhouse gas remember showing e mail morning paris signed said bunch b except say b said absolute garbage
MSNBC,MSNBC Live With Hallie Jackson,greenhouse gas 28 2025 joined congressman tom reed back fellow white house reporter reuters politico congressman thank much u recess week obviously lot talk
MSNBC,MSNBC Live,point okay republican support sort activity know reduce greenhouse gas emission really problem republican support absolutely way look
MSNBC,Hardball With Chris Matthews,country aimed reducing emission greenhouse gas european union said statement today sad day global community president obama said decision rejection future making announcement president trump said country laughing u
MSNBC,MSNBC Live With Craig Melvin,contribute global warming know caught process intense process way indicated fact global warming occurring human activity contributes manner
MSNBC,Morning Joe,effect promoting global warming thing contribute global warming yes reduced co2 emission need reduce lot hear talking happens germany go renewable
MSNBC,The 11th Hour With Brian Williams,nation cut greenhouse gas emission u second largest emitter pollutant despite representing 4 plus world population signed
MSNBC,The 11th Hour With Brian Williams,make america great paris pact rare moment agreement almost 200 nation cut greenhouse gas emission u second largest
MSNBC,MSNBC Live,change candidate trump mocked science president believe today climate change hoax yes president believe climate change real president actually believe climate change still believe
MSNBC,MSNBC Live,today climate change hoax yes president believe climate change real president actually believe climate change still believe hoax reporter neither pruitt spicer answer
MSNBC,The 11th Hour With Brian Williams,nation cut greenhouse gas emission u second largest emitter pollutant despite representing 4 plus world population signed president obama retuse
MSNBC,MTP Daily,said city continue adhere greenhouse gas curbing pact garcetti backed creation legal fund pay lawyer facing
MSNBC,MSNBC Live,22 facility call super polluter industrial site top 100 either greenhouse gas toxic air emission list four including rockport southwest indiana
MSNBC,MSNBC Live,washington c climate change last 20 30 year long time skeptic climate change suggested would put united state disstroong take step address climate change get rest world go along
MSNBC,PoliticsNation With Al Sharpton,yes much losing already even lose situation whole continuum climate
MSNBC,The Rachel Maddow Show,little company every country world signed agreement lower greenhouse gas every country except two nicaragua syria might easy put america
MSNBC,First Look,toss morning joe let get check story day ahead telling president trump set announce decision whether u continue participating 195 nation paris climate accord global
MSNBC,Meet the Press,successor assuming republican climate change skeptic would walk away paris climate change agreement mr kerry dismissed
MSNBC,First Look,regime china europe climate change likely top agenda today china undoubtedly see climate change issue
MSNBC,MSNBC Live With Hallie Jackson,2014 22 facility call super polluter industrial site top 100 greenhouse gas toxic air emission list 22 four including rockport southwest
MSNBC,The Rachel Maddow Show,diplomatic achievement president obama basically entire world able get board plan collectively lower greenhouse gas emission republican nominee president president trump railed paris accord
MSNBC,The Rachel Maddow Show,pull paris accord united state would little company every country world signed agreement lower greenhouse gas every country except two nicaragua syria
MSNBC,MSNBC Live With Hallie Jackson,global temperature preindustrial time well 3 6 degree fahrenheit course cut back greenhouse gas pollution eventually get rid altogether u set goal cutting
MSNBC,The 11th Hour With Brian Williams,know vladimir putin climate change think climate change threat world existential threat decision paris wrong decision
