Station,Show,Snippet
MSNBC,PoliticsNation,whoç supported fact e stepchild obama care person massachusetts built largest government run health care system united states someone bought man made global warming
MSNBC,Morning Joe,big enough wait wait wait talking arguments far carbon taxes go might shock lot americans unemployment rate lot americans think carbon tax right
MSNBC,Up W Chris Hayes,question gets core point one problems think debate high gas prices fact actually future want chance curtailing real catastrophic climate change
MSNBC,The Rachel Maddow Show,according frank words climate change less frightening global warming republican consultant calls wordsmith utterly mainstream figure republican politics message words matter
MSNBC,The Rachel Maddow Show,according frank words climate change less frightening global warming republican consultant calls wordsmith message words matter gure guy fox past thanksgiving iowa
MSNBC,PoliticsNation,days republicans turning talking sponges spongebob talking lot global warming clearly nickelodeon pushing global warming agenda oh yeah
MSNBC,Morning Joe,says take resources going harm earth things frankly scientifically proven example whole global
MSNBC,Hardball With Chris Matthews,gingrich reserves president obama desperate candidates require desperate measures al gore remember romney climate change climate change science course president obama
MSNBC,Hardball With Chris Matthews,gingrich reserves president obama desperate candidates require desperate measures al gore remember romney climate change climate change science course president obama whose health care plan
MSNBC,Hardball With Chris Matthews,fighting poverty fighting climate change important areas promotion human development reason hope pursuant 17th session conference states parties u n convention climate change recently concluded durbin
MSNBC,The Rachel Maddow Show,incentives people reduce greenhouse gas emissions free market approach good cap trade policy supports cap trade okay republicans policy couple years later
MSNBC,Hardball With Chris Matthews,well rick pope benedict xvi leader roman catholic church church santorum get theology climate change get language
MSNBC,The Rachel Maddow Show,trade cap trade incentives people reduce greenhouse gas emissions free market approach good cap trade policy supports cap trade okay republicans
MSNBC,Hardball With Chris Matthews,determining ingredient sauce effects entire global warming cooling absurd face phoney dinosaur
MSNBC,Hardball With Chris Matthews,minor factor minor factor determining ingredient sauce effects entire global warming cooling absurd face
MSNBC,The Rachel Maddow Show,joe lieberman favorite democrat proposed legislation called cap trade cap trade incentives people reduce greenhouse gas emissions free market approach good cap trade policy supports
MSNBC,Hardball With Chris Matthews,well rick pope benedict xvi leader roman catholic church church santorum get theology climate change get language christians dominion earth
MSNBC,The Ed Show,government involved education people ideology teach global warming kids learn environment want kids
MSNBC,Hardball With Chris Matthews,need administration done use sound science politicized science saw global warming absolute travesty
MSNBC,NOW With Alex Wagner,way get environmentalism way justify churches active working global warming twist odd responsibility
MSNBC,The Ed Show,ideology teach global warming kids learn environment want kids learn want individualized education teach science
MSNBC,Morning Joe,take resources going harm earth things frankly scientifically proven example global warming debate attempt
MSNBC,NOW With Alex Wagner,seem day cannot go without rick santorum making comment education religion global warming throwing hear much separation
MSNBC,The Ed Show,national association evangelicals cares global warming thinks god gave us stewartship earth responsible christian view great point
MSNBC,Hardball With Chris Matthews,important thing need administration done use sound science politicized science saw global warming absolute travesty
MSNBC,Jansing and Co.,lights turn cars drive manmade global warming imposed first carbon cap state massachusetts first state country
MSNBC,The Ed Show,environmentalist puts outside christian orbit great christian former head national association evangelicals talked creation care cares global warming thinks god gave
MSNBC,Hardball With Chris Matthews,santorum get theology climate change get odd language christians dominion earth could getting faction known dominionists also believe christians
MSNBC,Jansing and Co.,global warming president obama may remember tried pass cap trade tried get control health care system energy industry manufacturing industry another two big sectors
MSNBC,Jansing and Co.,economy using facade man made global warming stood fought things destroy foundation prosperity country look country
MSNBC,Jansing and Co.,higher standard living need affordable energy administration gone attacked us cap trade global warming dust bin history going
MSNBC,Morning Joe,massive mortgage refinance program argued carbon tax simpson bowles commission hope mitt romney playing game advisers really
MSNBC,Hardball With Chris Matthews,pursuant 17th session conference states parties u n convention climate change recently concluded durban international
MSNBC,Hardball With Chris Matthews,first saul alinsky desperate candidates require desperate measures al gore remember romney climate change
MSNBC,MSNBC Live,thinking world leaving behind children watching children trouble tough economy trouble getting jobs watching air pollution global warming issues thinking kind
MSNBC,The Ed Show,creation care cares global warming thinks god gave us stewardship earth responsible christian view outside framework christianity
MSNBC,Hardball With Chris Matthews,scientific theories global warming worry getting rid using resources planet wearing planet christian would say caring planet god created
MSNBC,Hardball With Chris Matthews,votes today contest rick santorum took microphone call obama administration putting politics ahead science topic global warming know coming let listen important thing
MSNBC,Up W Chris Hayes,called man made global warming stood fought things destroy foundation prosperity country know despite adorable sweater vest exterior hangs tough crowd
MSNBC,Morning Joe,frankly scientifically proven example politicization whole global warming debate attempt know centralize power give power government questioning president beliefs
MSNBC,NOW With Alex Wagner,putting together contesting global warming idea public school system everyone home school children prenatal exams excuse promote abortion
MSNBC,The Dylan Ratigan Show,huge said significant carbon tax center washington run economic models finds would reduce fuel use 30 ten years
